[Tue Aug 01 18:37:33.147193 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Attach interpreter ''.
[Tue Aug 01 18:37:46.171626 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Shutdown requested 'LAMPDots'.
[Tue Aug 01 18:37:46.180998 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Stopping process 'LAMPDots'.
[Tue Aug 01 18:37:46.181493 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Destroying interpreters.
[Tue Aug 01 18:37:46.181597 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Cleanup interpreter ''.
[Tue Aug 01 18:37:46.183362 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Terminating Python.
[Tue Aug 01 18:37:46.185074 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Python has shutdown.
[Tue Aug 01 18:37:47.259377 2017] [:info] [pid 10040:tid 140361673566080] mod_wsgi (pid=10040): Attach interpreter ''.
[Tue Aug 01 18:39:41.434977 2017] [authz_core:debug] [pid 10041:tid 140361351497472] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:41.435072 2017] [authz_core:debug] [pid 10041:tid 140361351497472] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:41.729598 2017] [authz_core:debug] [pid 10041:tid 140361343104768] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:41.729745 2017] [authz_core:debug] [pid 10041:tid 140361343104768] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:41.730601 2017] [authz_core:debug] [pid 10041:tid 140361343104768] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:41.730700 2017] [authz_core:debug] [pid 10041:tid 140361343104768] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.008107 2017] [authz_core:debug] [pid 10041:tid 140361334712064] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.008221 2017] [authz_core:debug] [pid 10041:tid 140361334712064] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.008987 2017] [authz_core:debug] [pid 10041:tid 140361334712064] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.009084 2017] [authz_core:debug] [pid 10041:tid 140361334712064] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.287897 2017] [authz_core:debug] [pid 10041:tid 140361557255936] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.288008 2017] [authz_core:debug] [pid 10041:tid 140361557255936] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.288764 2017] [authz_core:debug] [pid 10041:tid 140361557255936] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.288858 2017] [authz_core:debug] [pid 10041:tid 140361557255936] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.532440 2017] [authz_core:debug] [pid 10041:tid 140361326319360] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:42.532571 2017] [authz_core:debug] [pid 10041:tid 140361326319360] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
